Name,Description,List,Due Date,Labels,Members,ID,Sprint,Módulo,Status,Responsável,Tempo estimado (dias),Tempo utilizado (dias),Data Início,Data Fim,Notas
"Revisão e alinhamento do Documento de Requisitos da Sprint 2 (Estoque, Serviços, Funcionários e Fornecedores)","ID: 1
Sprint: 2
Módulo: Geral
Status no sprint backlog: A INICIAR
Responsável: Equipe
Tempo estimado: 1 dia(s)
Data início: 14/05/2026
Data fim: 14/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-14,"Sprint 2,Geral",Equipe,1,2,Geral,A INICIAR,Equipe,1,,2026-05-14,2026-05-14,
"Refinamento do modelo de dados para Estoque, Serviços, Funcionários e Fornecedores","ID: 2
Sprint: 2
Módulo: Geral
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 2 dia(s)
Data início: 14/05/2026
Data fim: 15/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-15,"Sprint 2,Geral",Allisson / Eduardo,2,2,Geral,A INICIAR,Allisson / Eduardo,2,,2026-05-14,2026-05-15,
"Ajustes da estrutura base para integrações entre Estoque, Serviços e Fornecedores","ID: 3
Sprint: 2
Módulo: Geral
Status no sprint backlog: A INICIAR
Responsável: Equipe
Tempo estimado: 2 dia(s)
Data início: 16/05/2026
Data fim: 17/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-17,"Sprint 2,Geral",Equipe,3,2,Geral,A INICIAR,Equipe,2,,2026-05-16,2026-05-17,
Construção das classes CRUD e regras de negócio – módulo Controle de Estoque,"ID: 4
Sprint: 2
Módulo: Estoque
Status no sprint backlog: A INICIAR
Responsável: Kauê / Dimitri
Tempo estimado: 3 dia(s)
Data início: 19/05/2026
Data fim: 21/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-21,"Sprint 2,Estoque",Kauê / Dimitri,4,2,Estoque,A INICIAR,Kauê / Dimitri,3,,2026-05-19,2026-05-21,
Codificação das rotas do módulo Controle de Estoque – Back-end (RF016–RF018),"ID: 5
Sprint: 2
Módulo: Estoque
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 3 dia(s)
Data início: 19/05/2026
Data fim: 21/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-21,"Sprint 2,Estoque",Allisson / Eduardo,5,2,Estoque,A INICIAR,Allisson / Eduardo,3,,2026-05-19,2026-05-21,
Codificação das páginas do módulo Controle de Estoque – Front-end (RF016–RF018),"ID: 6
Sprint: 2
Módulo: Estoque
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 2 dia(s)
Data início: 22/05/2026
Data fim: 23/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-23,"Sprint 2,Estoque",Allisson / Eduardo,6,2,Estoque,A INICIAR,Allisson / Eduardo,2,,2026-05-22,2026-05-23,
Validação das funcionalidades do módulo Controle de Estoque,"ID: 7
Sprint: 2
Módulo: Funcionários
Status no sprint backlog: A INICIAR
Responsável: Equipe
Tempo estimado: 1 dia(s)
Data início: 24/05/2026
Data fim: 24/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-24,"Sprint 2,Funcionários",Equipe,7,2,Funcionários,A INICIAR,Equipe,1,,2026-05-24,2026-05-24,
Construção das classes CRUD e regras de negócio – módulo Serviços,"ID: 8
Sprint: 2
Módulo: Serviços
Status no sprint backlog: A INICIAR
Responsável: Kauê / Dimitri
Tempo estimado: 3 dia(s)
Data início: 25/05/2026
Data fim: 27/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-27,"Sprint 2,Serviços",Kauê / Dimitri,8,2,Serviços,A INICIAR,Kauê / Dimitri,3,,2026-05-25,2026-05-27,
Codificação das rotas do módulo Serviços – Back-end (RF009–RF012),"ID: 9
Sprint: 2
Módulo: Serviços
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 3 dia(s)
Data início: 25/05/2026
Data fim: 27/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-27,"Sprint 2,Serviços",Allisson / Eduardo,9,2,Serviços,A INICIAR,Allisson / Eduardo,3,,2026-05-25,2026-05-27,
Codificação das páginas do módulo Serviços – Front-end (RF009–RF012),"ID: 10
Sprint: 2
Módulo: Serviços
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 2 dia(s)
Data início: 28/05/2026
Data fim: 29/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-29,"Sprint 2,Serviços",Allisson / Eduardo,10,2,Serviços,A INICIAR,Allisson / Eduardo,2,,2026-05-28,2026-05-29,
Comunicação front-end ↔ back-end – módulo Serviços e integração com Estoque,"ID: 11
Sprint: 2
Módulo: Serviços
Status no sprint backlog: A INICIAR
Responsável: Kauê / Dimitri
Tempo estimado: 2 dia(s)
Data início: 30/05/2026
Data fim: 31/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-31,"Sprint 2,Serviços",Kauê / Dimitri,11,2,Serviços,A INICIAR,Kauê / Dimitri,2,,2026-05-30,2026-05-31,
Construção das classes CRUD e regras de permissões – módulo Funcionários,"ID: 12
Sprint: 2
Módulo: Funcionários
Status no sprint backlog: A INICIAR
Responsável: Kauê / Dimitri
Tempo estimado: 3 dia(s)
Data início: 01/06/2026
Data fim: 03/06/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-06-03,"Sprint 2,Funcionários",Kauê / Dimitri,12,2,Funcionários,A INICIAR,Kauê / Dimitri,3,,2026-06-01,2026-06-03,
Codificação das rotas do módulo Funcionários – Back-end (RF019–RF022),"ID: 13
Sprint: 2
Módulo: Funcionários
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 3 dia(s)
Data início: 01/06/2026
Data fim: 03/06/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-06-03,"Sprint 2,Funcionários",Allisson / Eduardo,13,2,Funcionários,A INICIAR,Allisson / Eduardo,3,,2026-06-01,2026-06-03,
Codificação das páginas do módulo Funcionários – Front-end (RF019–RF022),"ID: 14
Sprint: 2
Módulo: Funcionários
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 2 dia(s)
Data início: 04/06/2026
Data fim: 05/06/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-06-05,"Sprint 2,Funcionários",Allisson / Eduardo,14,2,Funcionários,A INICIAR,Allisson / Eduardo,2,,2026-06-04,2026-06-05,
Validação das funcionalidades do módulo Funcionários,"ID: 15
Sprint: 2
Módulo: Funcionários
Status no sprint backlog: A INICIAR
Responsável: Equipe
Tempo estimado: 1 dia(s)
Data início: 06/06/2026
Data fim: 06/06/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-06-06,"Sprint 2,Funcionários",Equipe,15,2,Funcionários,A INICIAR,Equipe,1,,2026-06-06,2026-06-06,
Construção das classes CRUD e regras de negócio – módulo Fornecedores,"ID: 16
Sprint: 2
Módulo: Fornecedores
Status no sprint backlog: A INICIAR
Responsável: Kauê / Dimitri
Tempo estimado: 3 dia(s)
Data início: 07/06/2026
Data fim: 09/06/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-06-09,"Sprint 2,Fornecedores",Kauê / Dimitri,16,2,Fornecedores,A INICIAR,Kauê / Dimitri,3,,2026-06-07,2026-06-09,
Codificação das rotas do módulo Fornecedores – Back-end (RF023–RF026),"ID: 17
Sprint: 2
Módulo: Fornecedores
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 3 dia(s)
Data início: 07/06/2026
Data fim: 09/06/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-06-09,"Sprint 2,Fornecedores",Allisson / Eduardo,17,2,Fornecedores,A INICIAR,Allisson / Eduardo,3,,2026-06-07,2026-06-09,
Codificação das páginas do módulo Fornecedores – Front-end (RF023–RF026),"ID: 18
Sprint: 2
Módulo: Fornecedores
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 2 dia(s)
Data início: 10/06/2026
Data fim: 11/06/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-06-11,"Sprint 2,Fornecedores",Allisson / Eduardo,18,2,Fornecedores,A INICIAR,Allisson / Eduardo,2,,2026-06-10,2026-06-11,
"Testes integrados, correção de bugs e documentação – Sprint 2","ID: 19
Sprint: 2
Módulo: Geral
Status no sprint backlog: A INICIAR
Responsável: Equipe
Tempo estimado: 2 dia(s)
Data início: 12/06/2026
Data fim: 13/06/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-06-13,"Sprint 2,Geral",Equipe,19,2,Geral,A INICIAR,Equipe,2,,2026-06-12,2026-06-13,
Revisão geral e entrega do Sprint 2,"ID: 20
Sprint: 2
Módulo: Geral
Status no sprint backlog: A INICIAR
Responsável: Equipe
Tempo estimado: 1 dia(s)
Data início: 16/06/2026
Data fim: 16/06/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-06-16,"Sprint 2,Geral",Equipe,20,2,Geral,A INICIAR,Equipe,1,,2026-06-16,2026-06-16,
